id,name,price,unit,provider,contract,category,faaNumber,partFor,marketId,updatedAt
128200003,"שק רוח 18""",400,יחידה,אנרגוטק,8600001721,שקי רוח,FAA-888,128000000,SAK RUAH KATAN,09/08/2023 7:08
128002323,שק רוח 36,700,יחידה,אנרגוטק,8600001721,שקי רוח,FAA-888,128000000,SAK RUAH KATAN,09/08/2023 7:08
